blue,green,red,label
36,27,231,0
36,84,250,1
37,164,255,2
22,205,255,3
38,223,221,4
29,214,148,5
0,181,76,6
13,156,0,7
92,166,0,8
184,191,0,9
200,136,1,10
198,76,0,11
180,38,51,12
181,22,72,13
140,17,57,14
38,27,237,0
50,100,244,1
30,143,247,2
36,195,255,3
0,242,254,4
65,195,132,5
73,183,77,6
75,169,51,7
182,184,10,8
205,144,70,9
166,87,60,10
162,81,90,11
157,69,99,12
128,33,108,13
110,23,73,14
37,28,238,0
36,103,242,1
17,198,248,2
28,237,245,3
50,210,180,4
65,195,132,5
73,183,77,6
73,170,52,7
107,180,34,8
182,184,10,9
205,144,70,10
166,82,56,11
162,81,90,12
157,69,99,13
131,44,70,14
35,29,236,0
37,104,243,1
18,197,248,2
28,237,245,3
50,210,180,4
65,195,132,5
73,183,77,6
73,169,51,7
106,178,34,8
182,185,9,9
200,144,73,10
164,84,55,11
162,81,90,12
157,69,99,13
131,44,70,14
32,20,255,0
27,83,255,1
0,165,254,2
8,203,253,3
1,225,220,4
0,215,110,5
0,183,1,6
0,153,0,7
84,166,0,8
185,192,1,9
204,139,1,10
203,74,1,11
185,33,52,12
167,12,73,13
145,8,62,14
24,23,241,0
13,103,244,1
0,198,250,2
0,239,246,3
25,212,180,4
55,197,130,5
67,185,72,6
67,170,43,7
104,181,16,8
183,185,2,9
207,143,65,10
166,82,54,11
164,78,90,12
159,65,99,13
133,41,70,14
37,28,238,0
36,103,242,1
18,197,248,2
28,237,245,3
50,210,180,4
65,195,132,5
77,183,76,6
73,169,51,7
107,180,34,8
182,185,9,9
205,144,70,10
164,84,55,11
162,81,90,12
157,69,99,13
131,44,70,14
46,30,191,0
39,43,216,1
51,90,229,2
31,146,250,3
68,179,252,4
39,230,221,5
62,200,142,6
75,192,67,7
117,182,43,8
160,167,2,9
196,160,30,10
189,117,29,11
145,57,43,12
98,34,39,14
24,23,241,0
13,103,244,1
0,198,250,2
0,239,246,3
25,212,180,4
55,197,130,5
67,185,72,6
67,170,43,7
104,181,16,8
181,183,0,9
207,143,65,10
166,82,54,11
164,78,90,12
159,65,99,13
133,41,70,14
24,23,241,0
13,103,244,1
0,198,250,2
0,239,246,3
25,212,180,4
55,197,130,5
67,185,72,6
67,170,43,7
104,181,16,8
182,184,0,9
207,143,65,10
166,82,54,11
164,78,90,12
159,65,99,13
133,41,70,14
58,0,219,0
38,78,227,1
20,161,236,2
0,235,251,3
0,218,181,4
1,189,123,5
1,179,60,6
0,159,0,7
92,169,1,8
185,185,1,9
202,133,0,10
223,79,0,11
196,58,40,12
189,46,79,13
143,32,64,14
24,23,241,0
13,103,244,1
0,198,250,2
0,239,246,3
25,212,180,4
55,197,130,5
67,185,72,6
67,170,43,7
104,181,16,8
182,184,0,9
207,143,65,10
166,82,54,11
164,78,90,12
159,65,99,13
133,41,70,14
26,0,224,0
1,76,222,1
0,123,219,2
0,209,249,3
0,250,245,4
0,253,183,5
21,224,143,6
34,214,19,7
206,206,0,8
251,148,15,9
248,91,17,10
244,54,19,11
241,20,58,12
200,1,63,13
173,0,62,14
23,39,135,0
24,38,168,1
30,27,213,2
33,32,228,3
29,126,240,4
6,192,240,5
30,203,173,6
73,183,77,7
59,137,0,8
182,184,10,9
205,144,70,10
166,103,82,11
146,47,55,12
118,17,25,13
70,16,29,14
36,27,231,0
36,84,250,1
37,164,255,2
21,203,255,3
38,223,221,4
29,214,148,5
0,181,76,6
13,156,0,7
90,166,1,8
184,190,1,9
198,136,0,10
198,76,0,11
180,37,52,12
181,22,72,13
140,17,57,14
42,44,98,0
46,63,150,1
43,44,184,2
28,37,218,3
40,82,219,4
25,120,230,5
0,193,232,6
0,245,255,7
124,220,184,8
39,195,131,9
70,143,70,10
107,145,69,11
194,124,1,12
122,70,33,13
111,22,41,14
1,0,103,0
0,0,154,1
1,0,204,2
0,51,255,3
0,102,255,4
0,153,254,5
0,204,255,6
1,255,255,7
0,255,204,8
0,204,102,9
52,205,0,10
102,153,1,11
153,101,0,12
204,51,0,13
154,0,1,14
24,23,241,0
13,103,244,1
0,196,250,2
0,239,246,3
25,212,180,4
55,197,130,5
67,185,72,6
67,170,43,7
104,181,16,8
182,184,0,9
207,143,65,10
166,82,54,11
164,78,90,12
159,65,99,13
133,41,70,14
0,0,170,1
0,0,254,2
0,85,255,3
1,170,255,4
102,255,255,5
1,255,170,6
1,170,0,7
255,168,0,8
212,0,0,9
254,0,255,10
141,0,212,11
109,42,109,12
85,0,85,13
84,0,55,14
28,34,241,0
7,106,244,1
1,201,248,2
0,238,245,3
2,212,182,4
39,197,131,5
61,183,75,6
63,169,46,7
101,181,28,8
181,186,0,9
209,143,65,10
168,81,55,11
167,80,90,12
160,68,97,13
136,40,70,14
0,38,255,1
0,124,255,2
1,170,255,3
0,211,255,4
1,252,255,5
119,251,211,6
0,250,141,7
0,211,168,8
121,184,98,9
146,146,0,10
168,167,99,11
209,126,58,12
198,68,179,13
142,43,111,14
16,0,208,0
0,69,206,1
0,110,205,2
0,187,232,3
0,223,228,4
0,226,171,5
14,201,132,6
21,191,18,7
131,182,0,8
160,132,14,9
157,81,15,10
156,47,19,11
153,19,55,12
128,0,59,13
110,0,58,14
0,0,154,0
1,0,204,1
2,0,254,2
0,85,254,3
1,170,255,4
1,255,255,5
0,230,153,6
0,204,51,7
22,174,45,8
45,147,36,9
66,117,29,10
87,87,23,11
110,59,16,12
132,30,8,13
156,0,1,14
28,34,241,0
7,106,244,1
1,199,251,2
0,239,244,3
0,213,180,4
40,196,132,5
61,184,74,6
63,169,46,7
101,182,26,8
181,186,0,9
205,143,65,10
168,81,55,11
166,80,90,12
160,68,97,13
134,41,70,14
63,0,237,0
42,83,239,1
19,169,247,2
0,238,253,3
1,230,191,4
1,203,126,5
0,182,62,6
0,153,0,7
94,173,0,8
190,190,0,9
202,133,0,10
221,80,0,11
210,63,43,12
199,47,83,13
157,35,73,14
57,1,208,0
40,83,240,1
20,162,245,2
0,236,252,3
0,222,184,4
1,207,128,5
0,173,59,6
0,159,0,7
93,171,0,8
191,191,1,9
201,132,0,10
221,80,0,11
207,62,41,12
201,49,85,13
132,30,58,14
59,1,213,0
39,79,228,1
19,156,232,2
0,201,217,3
1,215,179,4
0,197,121,5
0,180,65,6
0,156,2,7
88,164,0,8
190,189,1,9
204,133,19,10
213,77,0,11
214,63,43,12
201,49,85,13
157,35,71,14
65,0,239,0
43,85,244,1
21,170,250,2
0,240,255,3
0,231,192,4
1,207,128,5
0,184,64,6
0,160,0,7
96,175,0,8
192,193,0,9
209,137,0,10
223,80,0,11
213,65,43,12
203,48,85,13
160,36,72,14
65,0,239,0
43,83,239,1
21,170,250,2
0,210,224,3
0,231,192,4
0,199,122,5
0,184,64,6
1,161,1,7
96,175,0,8
192,193,0,9
209,137,0,10
223,80,0,11
213,65,43,12
203,48,85,13
160,36,72,14
32,28,231,0
42,111,250,1
17,197,249,2
25,235,247,3
50,213,182,4
65,192,136,5
73,182,80,6
69,167,55,7
107,180,34,8
176,184,7,9
206,144,73,10
165,84,57,11
162,80,85,12
158,68,98,13
131,44,70,14
38,27,237,0
36,103,242,1
18,197,248,2
28,237,245,3
50,210,180,4
65,195,132,5
72,182,76,6
73,169,51,7
107,180,34,8
182,185,9,9
205,144,70,10
165,85,56,11
162,81,90,12
121,56,82,13
117,33,62,14
57,53,189,1
22,91,230,2
1,151,239,3
0,241,250,4
30,201,149,5
59,182,84,6
59,148,52,7
48,107,33,8
157,170,62,9
230,171,72,10
207,143,72,11
150,37,97,12
122,18,71,13
78,0,31,14
73,69,194,1
23,93,230,2
0,152,240,3
0,241,250,4
37,202,151,5
58,184,84,6
58,148,52,7
47,105,34,8
157,170,62,9
230,171,72,10
204,139,65,11
175,88,132,12
122,18,71,13
114,52,82,14
42,39,184,1
20,92,230,2
1,150,240,3
1,240,249,4
28,201,149,5
56,182,82,6
58,148,52,7
47,105,34,8
157,170,62,9
230,171,72,10
188,108,37,11
150,37,97,12
122,18,71,13
78,0,31,14
37,28,238,0
36,103,242,1
17,198,248,2
28,237,245,3
51,211,181,4
65,195,132,5
73,183,77,6
75,169,51,7
107,180,34,8
182,184,10,9
205,144,70,10
164,83,56,11
160,80,87,12
157,69,99,13
131,44,70,14
24,23,241,0
13,103,244,1
0,198,250,2
0,239,246,3
25,212,180,4
55,197,130,5
67,185,72,6
67,170,43,7
104,181,16,8
182,184,0,9
207,143,65,10
166,82,54,11
164,78,90,12
159,65,99,13
133,41,70,14
38,27,237,0
36,103,242,1
18,197,248,2
28,237,245,3
50,210,180,4
65,195,132,5
73,183,77,6
73,169,51,7
107,180,34,8
182,185,9,9
205,144,70,10
165,85,56,11
162,81,90,12
121,56,82,13
117,33,62,14
37,27,234,0
36,103,242,1
18,197,248,2
28,237,245,3
50,210,180,4
65,195,132,5
73,183,77,6
73,170,50,7
107,180,34,8
182,184,10,9
200,141,69,10
164,84,55,11
162,81,90,12
121,56,82,13
118,34,63,14
1,0,174,1
0,0,224,2
1,2,254,3
1,125,255,4
68,205,254,5
1,240,255,6
102,222,204,7
0,200,169,8
1,170,0,9
78,150,0,10
238,225,157,11
213,176,12,12
240,60,71,13
239,11,110,14
36,28,235,0
34,104,241,1
58,141,246,2
51,190,253,3
65,242,255,4
48,219,203,5
77,193,123,6
110,179,5,7
206,170,0,8
185,116,73,9
156,71,49,10
150,61,94,11
146,49,129,12
165,92,148,13
168,102,184,14
38,27,237,0
36,103,242,1
18,191,241,2
28,237,245,3
50,210,180,4
65,195,132,5
72,182,76,6
73,169,51,7
107,180,34,8
182,185,9,9
204,142,71,10
165,85,56,11
162,81,90,12
121,56,82,13
117,33,62,14
68,65,198,0
49,105,206,1
37,176,225,2
35,240,248,3
30,228,204,4
22,203,159,5
17,179,121,6
12,149,93,7
97,171,107,8
192,186,119,9
209,132,86,10
221,79,56,11
211,65,60,12
202,52,81,13
159,41,66,14
15,0,192,0
26,100,194,1
37,161,225,2
12,192,244,3
19,227,192,4
10,199,137,5
12,173,117,6
9,146,95,7
98,157,96,8
180,175,96,9
206,128,85,10
209,64,56,11
170,63,59,12
184,48,74,13
146,31,71,14
3,0,199,0
1,79,232,1
26,139,255,2
2,197,255,3
0,230,177,4
1,204,87,5
0,171,43,6
1,150,40,7
97,164,1,8
192,190,5,9
201,123,0,10
203,51,46,11
169,62,48,12
173,37,79,13
131,2,77,14
